,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,27,aucune,any
26,28,place,square
27,29,parle,speak
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,leurs,their
38,40,donné,given
39,41,train,train
40,42,corps,body
41,43,endroit,place
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,47,dont,whose
46,48,trouve,find
47,49,premier,first
48,50,perdu,lost
49,51,main,hand
50,52,première,first
51,53,côté,side
52,54,pouvoir,power
53,55,vieux,old
54,56,sois,be
55,57,tiens,here
56,58,matin,morning
57,59,tellement,so much
58,60,enfant,child
59,61,point,point
60,62,venu,came
61,63,suite,after
62,64,pardon,sorry
63,65,venez,come
64,66,devant,in front of
65,67,vers,towards
66,68,minutes,minutes
67,69,demandé,request
68,70,chambre,bedroom
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,mari,husband
75,77,cause,cause
76,78,enfin,finally
77,79,espère,hope
78,80,eau,water
79,81,attendez,Wait
80,82,parti,left
81,83,nouvelle,new
82,84,boulot,job
83,85,arrêter,Stop
84,86,dirait,would say
85,87,terre,Earth
86,88,compte,account
87,89,donne,given
88,90,loin,far
89,91,fin,end
90,92,croire,believe
91,93,chérie,sweetheart
92,94,gros,large
93,95,plutôt,rather
94,96,aura,will have
95,97,filles,girls
96,98,jouer,to play
97,99,bureau,office
