Title,Price (£),Rating
A Light in the Attic,Â51.77,Three
Tipping the Velvet,Â53.74,One
Soumission,Â50.10,One
Sharp Objects,Â47.82,Four
Sapiens: A Brief History of Humankind,Â54.23,Five
The Requiem Red,Â22.65,One
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,Four
The Black Maria,Â52.15,One
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,Two
Shakespeare's Sonnets,Â20.66,Four
Set Me Free,Â17.46,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,Five
Rip it Up and Start Again,Â35.02,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,Three
Olio,Â23.88,One
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,One
Libertarianism for Beginners,Â51.33,Two
It's Only the Himalayas,Â45.17,Two
